customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
12488.0,9,3,1244.66,5,3,4,12,Loyal
12489.0,336,1,298.93,2,1,2,5,Lost
12490.0,5,20,8764.64,5,5,5,15,VIP
12491.0,38,1,424.4,4,1,2,7,New / Promising
12492.0,63,3,607.21,3,3,3,9,Average
12493.0,165,2,379.74,3,2,2,7,Average
12494.0,15,9,1563.27,5,5,4,14,VIP
12495.0,640,1,277.4,1,1,1,3,Lost
12496.0,620,2,45.34,1,2,1,4,Lost
12497.0,81,3,5996.5,3,3,5,11,Average
12498.0,21,3,349.7,4,3,2,9,Loyal
12499.0,560,1,357.72,1,1,2,4,Lost
12500.0,23,18,5559.21,4,5,5,14,VIP
12501.0,336,1,2025.39,2,1,4,7,Cannot Lose
12502.0,95,5,2995.87,3,4,5,12,Average
12503.0,584,1,896.0,1,1,3,5,Cannot Lose
12504.0,18,4,689.05,5,3,3,11,Loyal
12505.0,408,1,787.2,2,1,3,6,Cannot Lose
12506.0,232,1,73.5,2,1,1,4,Lost
12507.0,134,4,1508.06,3,3,4,10,Average
12508.0,26,2,397.88,4,2,2,8,New / Promising
12509.0,284,1,158.5,2,1,1,4,Lost
12510.0,142,7,3039.03,3,4,5,12,Average
12511.0,428,1,3084.02,1,1,5,7,Cannot Lose
12512.0,66,2,132.18,3,2,1,6,Average
12513.0,112,1,558.29,3,1,2,6,Average
12514.0,267,2,1597.76,2,2,4,8,Cannot Lose
12515.0,353,1,278.7,2,1,1,4,Lost
12516.0,77,4,2288.62,3,3,4,10,Average
12517.0,28,4,2301.6,4,3,4,11,Loyal
12518.0,0,5,1840.89,5,4,4,13,VIP
12519.0,63,2,626.54,3,2,3,8,Average
12520.0,79,5,2346.26,3,4,4,11,Average
12521.0,142,1,545.68,3,1,2,6,Average
12522.0,39,2,156.72,4,2,1,7,New / Promising
12523.0,19,23,4010.35,5,5,5,15,VIP
12524.0,9,17,9794.11,5,5,5,15,VIP
12525.0,498,3,883.73,1,3,3,7,Lost
12526.0,0,3,1172.66,5,3,3,11,Loyal
12527.0,81,5,717.51,3,4,3,10,Average
12528.0,9,6,1645.48,5,4,4,13,VIP
12529.0,528,1,316.48,1,1,2,4,Lost
12530.0,59,9,3381.26,3,5,5,13,Average
12531.0,14,2,1771.2,5,2,4,11,New / Promising
12532.0,30,1,313.83,4,1,2,7,New / Promising
12533.0,627,2,1223.89,1,2,4,7,Cannot Lose
12534.0,130,1,981.18,3,1,3,7,Average
12535.0,91,2,716.35,3,2,3,8,Average
12536.0,59,1,4279.71,3,1,5,9,Average
12537.0,408,1,612.94,2,1,3,6,Cannot Lose
12538.0,29,2,640.45,4,2,3,9,New / Promising
12539.0,22,7,11186.75,4,4,5,13,VIP
12540.0,19,32,19250.49,5,5,5,15,VIP
12541.0,29,3,841.18,4,3,3,10,Loyal
12542.0,484,2,481.88,1,2,2,5,Lost
12543.0,448,1,840.25,1,1,3,5,Cannot Lose
12544.0,36,1,316.7,4,1,2,7,New / Promising
12545.0,75,2,832.39,3,2,3,8,Average
12546.0,46,2,1021.5,4,2,3,9,New / Promising
12547.0,197,3,299.58,2,3,2,7,Lost
12548.0,166,1,67.2,3,1,1,5,Average
12549.0,575,5,1570.68,1,4,4,9,At Risk
12550.0,79,1,824.83,3,1,3,7,Average
12551.0,357,1,168.0,2,1,1,4,Lost
12552.0,39,1,317.82,4,1,2,7,New / Promising
12553.0,8,12,4104.75,5,5,5,15,VIP
12554.0,448,1,384.5,1,1,2,4,Lost
12556.0,50,2,599.56,4,2,2,8,New / Promising
12557.0,16,8,18096.14,5,4,5,14,VIP
12558.0,7,1,269.96,5,1,1,7,New / Promising
12559.0,310,2,525.71,2,2,2,6,Lost
12560.0,5,2,1918.01,5,2,4,11,New / Promising
12561.0,302,1,238.85,2,1,1,4,Lost
12562.0,8,9,4426.92,5,5,5,15,VIP
12563.0,408,1,221.24,2,1,1,4,Lost
12564.0,261,1,402.9,2,1,2,5,Lost
12565.0,288,1,145.92,2,1,1,4,Lost
12566.0,86,1,297.65,3,1,2,6,Average
12567.0,22,15,10741.48,4,5,5,14,VIP
12568.0,644,1,52.0,1,1,1,3,Lost
12569.0,2,32,3152.69,5,5,5,15,VIP
12571.0,39,2,519.61,4,2,2,8,New / Promising
12572.0,8,2,912.42,5,2,3,10,New / Promising
12573.0,227,5,717.41,2,4,3,9,At Risk
12574.0,315,1,182.45,2,1,1,4,Lost
12575.0,457,2,568.82,1,2,2,5,Lost
12576.0,35,8,2062.72,4,4,4,12,VIP
12577.0,35,8,1613.15,4,4,4,12,VIP
12578.0,21,4,4026.45,4,3,5,12,Loyal
12579.0,78,1,386.42,3,1,2,6,Average
12580.0,246,2,962.9,2,2,3,7,Cannot Lose
12581.0,39,1,179.71,4,1,1,6,New / Promising
12582.0,238,4,1820.4,2,3,4,9,Lost
12583.0,2,27,12493.58,5,5,5,15,VIP
12584.0,3,9,2254.15,5,5,4,14,VIP
12585.0,234,2,1824.1,2,2,4,8,Cannot Lose
12586.0,17,4,2062.67,5,3,4,12,Loyal
12587.0,7,1,104.0,5,1,1,7,New / Promising
12588.0,39,3,718.78,4,3,3,10,Loyal
12589.0,28,6,3294.91,4,4,5,13,VIP
12590.0,211,1,9341.26,2,1,5,8,Cannot Lose
12591.0,317,3,1114.95,2,3,3,8,Lost
12592.0,92,4,1723.64,3,3,4,10,Average
12593.0,108,3,382.1,3,3,2,8,Average
12594.0,37,14,4890.11,4,5,5,14,VIP
12595.0,504,1,281.02,1,1,1,3,Lost
12596.0,51,2,450.27,4,2,2,8,New / Promising
12597.0,19,4,3195.22,5,3,5,13,Loyal
12598.0,9,10,4192.09,5,5,5,15,VIP
12599.0,29,13,2026.72,4,5,4,13,VIP
12600.0,28,20,4385.85,4,5,5,14,VIP
12601.0,189,6,573.26,2,4,2,8,At Risk
12602.0,58,1,153.12,4,1,1,6,New / Promising
12603.0,21,1,613.2,4,1,3,8,New / Promising
12604.0,79,2,236.18,3,2,1,6,Average
12605.0,376,3,1124.95,2,3,3,8,Lost
12607.0,60,1,1579.51,3,1,4,8,Average
12608.0,404,1,415.79,2,1,2,5,Lost
12609.0,78,9,3021.86,3,5,5,13,Average
12610.0,22,4,1747.54,4,3,4,11,Loyal
12611.0,52,1,1193.32,4,1,3,8,New / Promising
12612.0,74,1,668.04,3,1,3,7,Average
12613.0,57,9,6277.37,4,5,5,14,VIP
12614.0,277,1,315.6,2,1,2,5,Lost
12615.0,2,8,5362.98,5,4,5,14,VIP
12616.0,95,3,1023.1,3,3,3,9,Average
12617.0,29,1,352.98,4,1,2,7,New / Promising
12618.0,21,1,137.31,4,1,1,6,New / Promising
12619.0,16,9,3085.7,5,5,5,15,VIP
12620.0,14,3,1303.41,5,3,4,12,Loyal
12621.0,1,35,22097.2,5,5,5,15,VIP
12622.0,232,1,162.1,2,1,1,4,Lost
12623.0,276,7,3315.84,2,4,5,11,At Risk
12624.0,106,2,569.13,3,2,2,7,Average
12625.0,211,4,4678.88,2,3,5,10,Lost
12626.0,23,9,5954.48,4,5,5,14,VIP
12627.0,10,6,4082.53,5,4,5,14,VIP
12628.0,4,3,732.46,5,3,3,11,Loyal
12629.0,385,2,1198.22,2,2,3,7,Cannot Lose
12630.0,9,2,1030.88,5,2,3,10,New / Promising
12631.0,57,6,3321.57,4,4,5,13,VIP
12632.0,520,2,714.88,1,2,3,6,Cannot Lose
12633.0,58,7,5156.16,4,4,5,13,VIP
12634.0,548,1,360.0,1,1,2,4,Lost
12635.0,89,4,2624.41,3,3,4,10,Average
12637.0,67,12,8085.81,3,5,5,13,Average
12638.0,33,2,681.49,4,2,3,9,New / Promising
12639.0,238,3,1072.37,2,3,3,8,Lost
12640.0,23,3,994.58,4,3,3,10,Loyal
12641.0,115,1,145.9,3,1,1,5,Average
12642.0,25,3,905.26,4,3,3,10,Loyal
12643.0,128,11,7803.82,3,5,5,13,Average
12644.0,129,4,1900.49,3,3,4,10,Average
12645.0,33,8,3215.3,4,4,5,13,VIP
12646.0,4,2,1346.97,5,2,4,11,New / Promising
12647.0,22,35,14109.55,4,5,5,14,VIP
12648.0,154,4,1039.0,3,3,3,9,Average
12649.0,107,8,2096.65,3,4,4,11,Average
12650.0,3,1,242.44,5,1,1,7,New / Promising
12651.0,334,4,377.75,2,3,2,7,Lost
12652.0,331,2,891.03,2,2,3,7,Cannot Lose
12653.0,148,3,4160.83,3,3,5,11,Average
12654.0,10,5,529.98,5,4,2,11,Loyal
12655.0,423,1,243.35,1,1,1,3,Lost
12656.0,17,8,5723.83,5,4,5,14,VIP
12657.0,11,4,1427.18,5,3,4,12,Loyal
12658.0,18,1,632.05,5,1,3,9,New / Promising
12659.0,29,1,73.68,4,1,1,6,New / Promising
12660.0,11,1,227.1,5,1,1,7,New / Promising
12661.0,436,1,162.0,1,1,1,3,Lost
12662.0,0,20,6130.54,5,5,5,15,VIP
12663.0,624,2,185.4,1,2,1,4,Lost
12664.0,8,11,5420.04,5,5,5,15,VIP
12665.0,324,3,259.6,2,3,1,6,Lost
12666.0,394,1,1248.42,2,1,4,7,Cannot Lose
12667.0,58,1,460.13,4,1,2,7,New / Promising
12668.0,11,9,9906.03,5,5,5,15,VIP
12669.0,150,2,1427.73,3,2,4,9,Average
12670.0,10,7,3436.29,5,4,5,14,VIP
12671.0,606,1,2622.48,1,1,4,6,Cannot Lose
12672.0,329,2,407.05,2,2,2,6,Lost
12673.0,5,3,1140.02,5,3,3,11,Loyal
12674.0,38,4,1844.6,4,3,4,11,Loyal
12675.0,553,2,873.25,1,2,3,6,Cannot Lose
12676.0,24,10,2333.09,4,5,4,13,VIP
12677.0,555,2,359.1,1,2,2,5,Lost
12678.0,42,15,32595.18,4,5,5,14,VIP
12679.0,58,4,951.02,4,3,3,10,Loyal
12680.0,0,4,790.81,5,3,3,11,Loyal
12681.0,14,44,26936.76,5,5,5,15,VIP
12682.0,3,51,20736.22,5,5,5,15,VIP
12683.0,4,20,10445.7,5,5,5,15,VIP
12684.0,7,6,2073.63,5,4,4,13,VIP
12685.0,28,6,2575.08,4,4,4,12,VIP
12686.0,371,1,71.14,2,1,1,4,Lost
12687.0,480,1,1858.91,1,1,4,6,Cannot Lose
12688.0,113,1,4873.81,3,1,5,9,Average
12689.0,25,2,1139.61,4,2,3,9,New / Promising
12690.0,205,1,335.01,2,1,2,5,Lost
12691.0,28,6,1044.4,4,4,3,11,Loyal
12692.0,637,1,110.95,1,1,1,3,Lost
12693.0,127,7,1415.02,3,4,4,11,Average
12694.0,70,3,1663.35,3,3,4,10,Average
12695.0,7,7,1371.12,5,4,4,13,VIP
12696.0,434,2,731.91,1,2,3,6,Cannot Lose
12697.0,28,3,757.59,4,3,3,10,Loyal
12698.0,590,1,285.75,1,1,2,4,Lost
12699.0,417,1,566.11,1,1,2,4,Lost
12700.0,7,4,4525.99,5,3,5,13,Loyal
12701.0,79,6,2248.41,3,4,4,11,Average
12702.0,19,1,201.0,5,1,1,7,New / Promising
12703.0,71,4,898.53,3,3,3,9,Average
12704.0,7,8,1740.84,5,4,4,13,VIP
12705.0,15,13,11114.1,5,5,5,15,VIP
12707.0,291,1,603.42,2,1,2,5,Lost
12708.0,29,18,4559.66,4,5,5,14,VIP
12709.0,15,32,29487.18,5,5,5,15,VIP
12710.0,96,3,1023.02,3,3,3,9,Average
12711.0,611,2,1213.05,1,2,4,7,Cannot Lose
12712.0,28,21,5985.03,4,5,5,14,VIP
12713.0,0,1,794.55,5,1,3,9,New / Promising
12714.0,9,12,12815.71,5,5,5,15,VIP
12715.0,106,1,263.36,3,1,1,5,Average
12716.0,3,2,963.49,5,2,3,10,New / Promising
12717.0,151,3,1058.91,3,3,3,9,Average
12718.0,71,1,202.25,3,1,1,5,Average
12719.0,5,2,572.95,5,2,2,9,New / Promising
12720.0,2,29,6905.28,5,5,5,15,VIP
12721.0,31,8,3635.08,4,4,5,13,VIP
12722.0,85,4,979.63,3,3,3,9,Average
12723.0,3,5,707.07,5,4,3,12,Loyal
12724.0,5,7,2083.52,5,4,4,13,VIP
12725.0,371,3,1906.76,2,3,4,9,Lost
12726.0,28,11,3690.6,4,5,5,14,VIP
12727.0,10,10,4905.53,5,5,5,15,VIP
12728.0,71,5,926.17,3,4,3,10,Average
12729.0,113,1,417.01,3,1,2,6,Average
12730.0,521,1,703.25,1,1,3,5,Cannot Lose
12731.0,23,17,25631.71,4,5,5,14,VIP
12732.0,179,1,218.26,3,1,1,5,Average
12733.0,234,4,2424.02,2,3,4,9,Lost
12734.0,352,3,603.65,2,3,3,8,Lost
12735.0,315,2,689.57,2,2,3,7,Cannot Lose
12736.0,332,1,144.0,2,1,1,4,Lost
12738.0,372,1,137.35,2,1,1,4,Lost
12739.0,99,2,2421.23,3,2,4,9,Average
12740.0,63,1,427.6,3,1,2,6,Average
12741.0,533,1,236.07,1,1,1,3,Lost
12742.0,625,1,1201.52,1,1,3,5,Cannot Lose
12743.0,134,2,540.13,3,2,2,7,Average
12744.0,56,8,13158.16,4,4,5,13,VIP
12745.0,486,2,723.85,1,2,3,6,Cannot Lose
12746.0,540,1,254.55,1,1,1,3,Lost
12747.0,2,26,8898.48,5,5,5,15,VIP
12748.0,0,322,49176.74,5,5,5,15,VIP
12749.0,3,9,6847.36,5,5,5,15,VIP
12750.0,128,1,275.88,3,1,1,5,Average
12751.0,444,1,268.27,1,1,1,3,Lost
12752.0,81,1,4366.78,3,1,5,9,Average
12753.0,22,6,21429.39,4,4,5,13,VIP
12754.0,235,3,3010.74,2,3,5,10,Lost
12755.0,280,11,5236.26,2,5,5,12,At Risk
12756.0,86,1,112.08,3,1,1,5,Average
12757.0,15,9,4176.75,5,5,5,15,VIP
12758.0,116,7,9903.24,3,4,5,12,Average
12759.0,52,8,4618.74,4,4,5,13,VIP
12760.0,455,1,317.8,1,1,2,4,Lost
12761.0,464,1,712.95,1,1,3,5,Cannot Lose
12762.0,7,2,1702.52,5,2,4,11,New / Promising
12763.0,138,2,494.08,3,2,2,7,Average
12764.0,316,1,1693.88,2,1,4,7,Cannot Lose
12765.0,472,6,1299.58,1,4,4,9,At Risk
12766.0,3,9,8134.99,5,5,5,15,VIP
12767.0,375,1,949.82,2,1,3,6,Cannot Lose
12768.0,450,1,168.69,1,1,1,3,Lost
12769.0,238,1,1143.6,2,1,3,6,Cannot Lose
12770.0,210,2,3246.45,2,2,5,9,Cannot Lose
12771.0,485,1,226.3,1,1,1,3,Lost
12772.0,59,1,752.47,3,1,3,7,Average
12773.0,564,1,124.25,1,1,1,3,Lost
12774.0,535,1,83.7,1,1,1,3,Lost
12775.0,17,7,1551.12,5,4,4,13,VIP
12776.0,667,1,27.5,1,1,1,3,Lost
12777.0,457,1,519.45,1,1,2,4,Lost
12778.0,19,9,1541.68,5,5,4,14,VIP
12779.0,37,14,6474.11,4,5,5,14,VIP
12780.0,598,1,322.4,1,1,2,4,Lost
12781.0,63,2,786.74,3,2,3,8,Average
12782.0,4,11,3862.24,5,5,5,15,VIP
12783.0,2,4,1295.87,5,3,4,12,Loyal
12784.0,15,2,1511.15,5,2,4,11,New / Promising
12785.0,364,3,904.4,2,3,3,8,Lost
12786.0,609,1,668.5,1,1,3,5,Cannot Lose
12787.0,9,4,799.18,5,3,3,11,Loyal
12788.0,463,4,384.9,1,3,2,6,Lost
12789.0,65,3,225.35,3,3,1,7,Average
12790.0,192,2,546.85,2,2,2,6,Lost
12791.0,373,5,656.83,2,4,3,9,At Risk
12792.0,256,2,715.01,2,2,3,7,Cannot Lose
12793.0,334,3,745.53,2,3,3,8,Lost
12794.0,53,2,860.41,4,2,3,9,New / Promising
12795.0,18,1,318.48,5,1,2,8,New / Promising
12796.0,628,1,351.0,1,1,2,4,Lost
12797.0,365,2,468.08,2,2,2,6,Lost
12798.0,10,4,8510.93,5,3,5,13,Loyal
12799.0,529,1,219.35,1,1,1,3,Lost
12800.0,470,2,500.25,1,2,2,5,Lost
12801.0,500,1,871.82,1,1,3,5,Cannot Lose
12802.0,186,5,2186.42,3,4,4,11,Average
12803.0,393,1,1017.81,2,1,3,6,Cannot Lose
12804.0,465,2,325.37,1,2,2,5,Lost
12805.0,381,4,1230.95,2,3,4,9,Lost
12806.0,572,2,2558.96,1,2,4,7,Cannot Lose
12807.0,383,1,250.35,2,1,1,4,Lost
12808.0,36,5,748.7,4,4,3,11,Loyal
12809.0,177,3,1384.34,3,3,4,10,Average
12810.0,534,2,534.99,1,2,2,5,Lost
12811.0,261,4,893.9,2,3,3,8,Lost
12812.0,44,1,229.64,4,1,1,6,New / Promising
12813.0,501,3,1621.8,1,3,4,8,Lost
12814.0,101,1,85.92,3,1,1,5,Average
12815.0,147,2,863.46,3,2,3,8,Average
12816.0,95,2,452.2,3,2,2,7,Average
12817.0,281,3,570.98,2,3,2,7,Lost
12818.0,261,1,1182.08,2,1,3,6,Cannot Lose
12819.0,458,1,540.52,1,1,2,4,Lost
12820.0,3,11,2689.52,5,5,4,14,VIP
12821.0,214,2,220.8,2,2,1,5,Lost
12822.0,70,2,948.88,3,2,3,8,Average
12823.0,74,18,6501.5,3,5,5,13,Average
12824.0,59,1,397.12,3,1,2,6,Average
12825.0,521,2,518.63,1,2,2,5,Lost
12826.0,2,12,2800.75,5,5,4,14,VIP
12827.0,5,3,430.15,5,3,2,10,Loyal
12828.0,2,6,1018.71,5,4,3,12,Loyal
12829.0,336,3,385.3,2,3,2,7,Lost
12830.0,37,6,6814.64,4,4,5,13,VIP
12831.0,262,3,451.11,2,3,2,7,Lost
12832.0,32,2,383.03,4,2,2,8,New / Promising
12833.0,145,1,417.38,3,1,2,6,Average
12834.0,282,1,312.38,2,1,2,5,Lost
12835.0,427,41,5996.83,1,5,5,11,At Risk
12836.0,59,15,6559.73,3,5,5,13,Average
12837.0,173,2,662.66,3,2,3,8,Average
12838.0,33,10,2975.91,4,5,5,14,VIP
12839.0,2,26,9669.12,5,5,5,15,VIP
12840.0,143,7,4041.97,3,4,5,12,Average
12841.0,4,40,6958.2,5,5,5,15,VIP
12842.0,70,4,1917.99,3,3,4,10,Average
12843.0,65,28,6461.87,3,5,5,13,Average
12844.0,29,4,648.6,4,3,3,10,Loyal
12845.0,267,4,354.09,2,3,2,7,Lost
12847.0,22,2,1609.0,4,2,4,10,New / Promising
12848.0,675,1,208.0,1,1,1,3,Lost
12849.0,31,6,3015.98,4,4,5,13,VIP
12850.0,445,1,330.0,1,1,2,4,Lost
12851.0,96,2,280.76,3,2,1,6,Average
12852.0,294,1,311.55,2,1,2,5,Lost
12853.0,134,11,3907.5,3,5,5,13,Average
12854.0,78,7,2970.97,3,4,5,12,Average
12855.0,372,4,612.84,2,3,3,8,Lost
12856.0,7,6,2170.78,5,4,4,13,VIP
12857.0,210,6,3688.0,2,4,5,11,At Risk
12858.0,383,1,147.27,2,1,1,4,Lost
12859.0,458,1,575.1,1,1,2,4,Lost
12860.0,693,1,54.22,1,1,1,3,Lost
12861.0,619,1,68.25,1,1,1,3,Lost
12862.0,425,2,984.62,1,2,3,6,Cannot Lose
12863.0,52,6,2792.55,4,4,4,12,VIP
12864.0,138,2,299.57,3,2,2,7,Average
12865.0,26,4,3323.47,4,3,5,12,Loyal
12866.0,283,3,1092.35,2,3,3,8,Lost
12867.0,26,13,7829.26,4,5,5,14,VIP
12868.0,185,8,2043.76,3,4,4,11,Average
12869.0,681,1,337.67,1,1,2,4,Lost
12870.0,375,3,1676.95,2,3,4,9,Lost
12871.0,84,3,744.02,3,3,3,9,Average
12872.0,326,12,3283.96,2,5,5,12,At Risk
12873.0,282,3,2027.3,2,3,4,9,Lost
12874.0,385,2,873.42,2,2,3,7,Cannot Lose
12875.0,143,5,1356.99,3,4,4,11,Average
12876.0,57,4,3751.79,4,3,5,12,Loyal
12877.0,3,20,2942.14,5,5,5,15,VIP
12878.0,236,2,854.99,2,2,3,7,Cannot Lose
12879.0,44,3,573.22,4,3,2,9,Loyal
12880.0,381,2,640.13,2,2,3,7,Cannot Lose
12881.0,275,1,298.0,2,1,2,5,Lost
12882.0,9,2,1463.04,5,2,4,11,New / Promising
12883.0,24,4,703.47,4,3,3,10,Loyal
12884.0,88,1,309.05,3,1,2,6,Average
12885.0,63,3,1175.22,3,3,3,9,Average
12886.0,67,2,1378.4,3,2,4,9,Average
12887.0,383,1,222.4,2,1,1,4,Lost
12888.0,214,2,354.12,2,2,2,6,Lost
12889.0,381,4,385.46,2,3,2,7,Lost
12890.0,24,2,706.02,4,2,3,9,New / Promising
